km	long	lat	alt	name
530.894	133.38822	-15.82592	189.0	
531.320	133.38979	-15.82946	189.8	
531.784	133.39206	-15.83303	193.7	
532.746	133.39678	-15.84043	192.7	
533.602	133.40090	-15.84705	190.1	
533.886	133.40177	-15.84948	191.3	
534.528	133.40336	-15.85507	187.2	
535.168	133.40513	-15.86060	186.2	
536.095	133.40775	-15.86858	187.3	
536.665	133.40918	-15.87354	189.0	
537.379	133.41025	-15.87991	185.7	
537.734	133.41101	-15.88303	188.7	
538.160	133.41239	-15.88664	187.2	
538.373	133.41358	-15.88819	188.0	
538.621	133.41538	-15.88960	189.2	
538.942	133.41773	-15.89139	189.8	
539.156	133.41894	-15.89293	189.1	
539.404	133.41982	-15.89501	190.0	
539.619	133.42011	-15.89693	188.1	
540.190	133.42051	-15.90207	190.6	
540.402	133.42119	-15.90387	189.8	
540.650	133.42248	-15.90574	191.9	
540.933	133.42387	-15.90791	191.9	
541.185	133.42455	-15.91009	189.9	
541.641	133.42583	-15.91402	193.0	
542.319	133.42777	-15.91985	192.5	
542.995	133.43021	-15.92549	194.6	
543.814	133.43315	-15.93232	193.8	
544.163	133.43416	-15.93532	194.8	
544.296	133.43445	-15.93649	192.7	
544.451	133.43470	-15.93787	192.0	
544.569	133.43488	-15.93892	191.8	
544.744	133.43503	-15.94049	192.4	
545.014	133.43510	-15.94293	192.0	
545.387	133.43499	-15.94630	193.0	
545.829	133.43485	-15.95029	192.5	
546.791	133.43452	-15.95898	193.1	
547.539	133.43426	-15.96574	193.8	
548.323	133.43400	-15.97282	193.5	
549.178	133.43371	-15.98054	193.1	
549.889	133.43340	-15.98696	193.6	
550.067	133.43284	-15.98847	194.3	
550.280	133.43160	-15.98998	194.0	
550.493	133.42991	-15.99099	194.2	
550.884	133.42647	-15.99218	193.2	
551.062	133.42508	-15.99306	192.4	
551.241	133.42402	-15.99431	194.0	
551.419	133.42337	-15.99579	194.9	
551.667	133.42242	-15.99784	192.4	
552.237	133.41957	-16.00219	194.0	
552.487	133.41902	-16.00438	194.1	
553.343	133.41727	-16.01193	192.5	
553.698	133.41620	-16.01497	194.0	
554.554	133.41333	-16.02219	194.0	
555.086	133.41181	-16.02677	194.3	
555.263	133.41196	-16.02836	195.9	
555.512	133.41277	-16.03047	193.7	
555.832	133.41389	-16.03315	195.1	
556.545	133.41630	-16.03916	195.0	
556.973	133.41713	-16.04294	196.3	
557.613	133.41852	-16.04857	196.6	
557.863	133.41967	-16.05053	195.1	
558.682	133.42374	-16.05680	198.4	
559.501	133.42780	-16.06307	198.8	
560.213	133.43127	-16.06856	199.7	
560.427	133.43174	-16.07044	199.0	
561.244	133.43272	-16.07777	197.5	
562.135	133.43380	-16.08575	197.9	
562.812	133.43451	-16.09183	198.3	
563.027	133.43420	-16.09375	199.0	
563.670	133.43266	-16.09936	200.0	
564.489	133.43071	-16.10652	200.6	
565.201	133.42901	-16.11274	200.8	
565.591	133.42825	-16.11619	201.1	
566.160	133.42824	-16.12133	202.4	
566.979	133.42823	-16.12873	203.0	
567.727	133.42820	-16.13549	204.2	
568.547	133.42818	-16.14290	204.5	
569.296	133.42813	-16.14967	203.2	
570.080	133.42810	-16.15675	204.9	
570.472	133.42808	-16.16030	204.1	
571.007	133.42820	-16.16513	205.2	
571.754	133.42841	-16.17188	205.6	
572.396	133.42844	-16.17768	207.3	
572.930	133.42782	-16.18247	203.1	
573.786	133.42686	-16.19015	204.9	
574.713	133.42581	-16.19846	206.7	
575.247	133.42542	-16.20327	207.0	
576.245	133.42501	-16.21228	206.7	
577.100	133.42463	-16.22000	206.6	
577.562	133.42424	-16.22416	207.9	
577.776	133.42343	-16.22593	207.1	
577.989	133.42217	-16.22742	207.4	
578.880	133.41660	-16.23341	207.0	
579.629	133.41181	-16.23834	209.2	
580.484	133.40612	-16.24377	208.2	
581.517	133.39926	-16.25035	209.4	
582.180	133.39493	-16.25464	210.9	
582.401	133.39399	-16.25642	208.5	
582.629	133.39354	-16.25843	209.9	
582.730	133.39337	-16.25933	209.9	
582.765	133.39332	-16.25964	210.0	
583.222	133.39263	-16.26372	210.2	
584.041	133.39136	-16.27102	210.6	
584.398	133.39084	-16.27420	212.0	
585.039	133.38980	-16.27991	213.5	
585.964	133.38834	-16.28815	215.0	
586.927	133.38681	-16.29672	218.2	
587.104	133.38652	-16.29830	219.0	
587.810	133.38538	-16.30458	218.7	
588.069	133.38497	-16.30689	219.7	
588.225	133.38489	-16.30830	220.0	Daly Waters
588.450	133.38437	-16.31027	220.2	
588.908	133.38365	-16.31435	219.7	
588.978	133.38354	-16.31497	220.5	
589.690	133.38243	-16.32131	220.2	
590.581	133.38103	-16.32925	222.3	
591.078	133.38047	-16.33371	223.6	
591.934	133.38049	-16.34144	225.3	
592.645	133.38051	-16.34787	226.6	
593.359	133.38054	-16.35432	225.5	
594.178	133.38053	-16.36172	229.5	
594.391	133.38053	-16.36365	233.4	
595.068	133.38048	-16.36976	235.9	
595.317	133.38046	-16.37201	237.3	
596.066	133.38041	-16.37878	239.3	
596.207	133.38040	-16.38006	242.1	
596.386	133.38039	-16.38167	241.5	
596.957	133.38025	-16.38683	242.6	
597.064	133.38014	-16.38779	241.6	
597.206	133.37997	-16.38907	238.3	
597.599	133.37946	-16.39258	241.5	
597.884	133.37909	-16.39513	245.8	
598.669	133.37805	-16.40216	246.8	
598.740	133.37796	-16.40279	248.2	
599.166	133.37769	-16.40663	250.8	
599.663	133.37784	-16.41112	251.3	
600.375	133.37839	-16.41753	250.9	
601.087	133.37893	-16.42395	251.1	
601.978	133.37964	-16.43197	251.5	
602.318	133.38017	-16.43500	252.2	
602.505	133.38055	-16.43665	254.3	
602.857	133.38143	-16.43971	253.0	
602.921	133.38161	-16.44026	253.8	
602.952	133.38171	-16.44053	254.0	
603.117	133.38227	-16.44192	254.5	
603.285	133.38288	-16.44332	256.9	
603.387	133.38326	-16.44416	258.9	
603.592	133.38403	-16.44586	260.1	
603.627	133.38416	-16.44615	259.6	
604.053	133.38575	-16.44968	256.2	
604.230	133.38641	-16.45115	259.2	
604.373	133.38695	-16.45233	263.3	
604.479	133.38735	-16.45321	265.4	
604.622	133.38780	-16.45442	266.2	
604.800	133.38804	-16.45601	268.4	
604.871	133.38812	-16.45665	268.3	
604.976	133.38821	-16.45760	271.9	
605.119	133.38834	-16.45888	273.3	
605.581	133.38879	-16.46303	273.5	
606.115	133.38910	-16.46785	272.0	
606.613	133.38915	-16.47235	270.3	
607.182	133.38903	-16.47749	270.0	
607.467	133.38837	-16.47999	272.0	
607.824	133.38709	-16.48297	273.3	
608.539	133.38451	-16.48893	272.8	
609.216	133.38207	-16.49457	273.7	
610.001	133.37922	-16.50111	274.3	
610.927	133.37586	-16.50883	276.0	
611.675	133.37315	-16.51506	276.0	
612.388	133.37053	-16.52099	274.2	
613.101	133.36791	-16.52691	274.4	
613.848	133.36517	-16.53313	275.0	
614.561	133.36256	-16.53906	277.7	
615.382	133.35955	-16.54588	278.1	
616.094	133.35692	-16.55180	279.1	
616.736	133.35458	-16.55714	280.5	
617.056	133.35375	-16.55992	280.0	
617.376	133.35339	-16.56279	280.3	
617.694	133.35351	-16.56566	281.4	
618.121	133.35421	-16.56946	280.7	
618.977	133.35568	-16.57706	278.7	
619.333	133.35629	-16.58023	279.3	
620.118	133.35764	-16.58720	275.3	
620.474	133.35826	-16.59036	271.6	
620.688	133.35863	-16.59226	272.0	
621.187	133.35949	-16.59669	267.4	
621.863	133.36066	-16.60270	266.3	
622.291	133.36159	-16.60646	268.5	
623.220	133.36464	-16.61432	269.5	
624.040	133.36733	-16.62126	268.4	
624.539	133.36917	-16.62541	265.5	
624.933	133.37108	-16.62846	263.1	
625.398	133.37371	-16.63181	260.9	
625.434	133.37392	-16.63206	260.9	
625.826	133.37617	-16.63486	257.7	
625.969	133.37699	-16.63588	256.6	
626.504	133.38005	-16.63971	253.3	
626.789	133.38169	-16.64174	250.1	
627.573	133.38618	-16.64735	247.9	
628.535	133.39171	-16.65422	244.1	
628.785	133.39315	-16.65600	243.9	
629.498	133.39725	-16.66109	240.3	
630.348	133.40214	-16.66715	238.3	
630.410	133.40248	-16.66761	238.7	
630.703	133.40419	-16.66968	235.8	
631.177	133.40692	-16.67306	234.6	
631.462	133.40856	-16.67509	234.5	
631.485	133.40869	-16.67526	233.9	
631.530	133.40895	-16.67558	232.9	
631.570	133.40918	-16.67587	231.9	
631.625	133.40950	-16.67626	231.8	
631.677	133.40980	-16.67663	232.3	
631.982	133.41148	-16.67885	234.0	
632.280	133.41241	-16.68139	232.0	
632.335	133.41252	-16.68188	231.3	
632.368	133.41258	-16.68217	231.8	
632.551	133.41290	-16.68380	233.3	
632.625	133.41305	-16.68445	233.8	
632.690	133.41314	-16.68503	234.1	
632.698	133.41315	-16.68510	234.2	
632.799	133.41333	-16.68600	235.4	
632.975	133.41364	-16.68756	234.4	
633.249	133.41412	-16.68999	235.0	
633.625	133.41479	-16.69333	234.0	
634.083	133.41559	-16.69739	236.0	
634.475	133.41628	-16.70087	238.0	
635.177	133.41752	-16.70710	239.5	
635.734	133.41850	-16.71205	236.3	
635.771	133.41856	-16.71238	235.6	
636.848	133.42044	-16.72194	234.0	
637.813	133.42204	-16.73052	230.6	
638.852	133.42377	-16.73976	230.6	
639.818	133.42538	-16.74835	230.4	
640.746	133.42693	-16.75660	230.1	
641.488	133.42817	-16.76320	231.0	
642.528	133.42990	-16.77245	234.3	
643.159	133.43082	-16.77808	237.4	
643.271	133.43083	-16.77909	239.8	
643.345	133.43080	-16.77976	239.9	
643.716	133.43060	-16.78311	243.8	
644.386	133.43025	-16.78915	242.0	
645.240	133.42981	-16.79686	242.9	
645.909	133.42947	-16.80289	243.9	
646.801	133.42901	-16.81094	245.4	
647.506	133.42863	-16.81730	245.8	
648.325	133.42821	-16.82469	242.9	
648.473	133.42814	-16.82603	241.2	
648.548	133.42810	-16.82670	241.9	
649.141	133.42780	-16.83205	239.7	
649.216	133.42776	-16.83273	239.6	
649.253	133.42774	-16.83306	238.5	
649.775	133.42748	-16.83777	238.0	
650.630	133.42704	-16.84549	236.1	
651.335	133.42667	-16.85185	236.8	
651.596	133.42654	-16.85420	239.9	
651.781	133.42644	-16.85587	239.1	
651.929	133.42635	-16.85721	241.0	
652.785	133.42590	-16.86493	243.2	
653.564	133.42550	-16.87196	247.1	
653.750	133.42540	-16.87364	248.5	
654.085	133.42522	-16.87666	248.3	
654.494	133.42501	-16.88035	250.0	
655.274	133.42458	-16.88738	251.1	
655.980	133.42425	-16.89376	254.4	
656.685	133.42387	-16.90012	253.8	
657.392	133.42354	-16.90650	252.7	
657.876	133.42328	-16.91086	248.1	
658.581	133.42291	-16.91722	244.3	
658.667	133.42287	-16.91800	244.0	
658.706	133.42285	-16.91835	244.0	
658.723	133.42284	-16.91850	244.0	
658.863	133.42276	-16.91977	243.8	
658.992	133.42270	-16.92093	245.3	
659.024	133.42271	-16.92122	244.7	
659.037	133.42272	-16.92134	244.4	
659.066	133.42273	-16.92160	243.9	
659.072	133.42274	-16.92165	243.7	
659.096	133.42274	-16.92187	243.7	
659.131	133.42274	-16.92219	243.7	
659.179	133.42279	-16.92262	243.5	
659.217	133.42283	-16.92296	242.9	
659.259	133.42288	-16.92333	242.5	
659.501	133.42326	-16.92549	242.6	
659.824	133.42374	-16.92837	242.4	
660.263	133.42441	-16.93229	240.5	
660.520	133.42480	-16.93458	243.0	
660.856	133.42531	-16.93757	244.0	
661.041	133.42560	-16.93922	242.3	
661.933	133.42697	-16.94717	242.8	
662.935	133.42851	-16.95611	243.1	
663.641	133.42959	-16.96240	246.1	
664.311	133.43062	-16.96837	243.0	
665.240	133.43204	-16.97665	240.6	
666.243	133.43357	-16.98560	240.8	
667.209	133.43506	-16.99421	241.0	
667.767	133.43591	-16.99918	243.1	
668.734	133.43736	-17.00781	244.0	
669.365	133.43836	-17.01343	242.6	
670.294	133.43978	-17.02171	239.2	
671.298	133.44132	-17.03066	242.4	
671.483	133.44161	-17.03231	244.3	
672.005	133.44240	-17.03696	245.2	
673.081	133.44405	-17.04656	244.0	
674.197	133.44577	-17.05650	242.6	
674.568	133.44633	-17.05981	242.4	
674.642	133.44645	-17.06047	241.0	
675.497	133.44776	-17.06809	240.0	
676.500	133.44929	-17.07704	236.7	
677.505	133.45085	-17.08599	235.2	
677.988	133.45158	-17.09030	234.4	
678.917	133.45302	-17.09858	231.7	
679.846	133.45443	-17.10686	231.3	
680.589	133.45557	-17.11349	236.4	
680.626	133.45563	-17.11382	236.7	
680.737	133.45580	-17.11481	237.0	
680.812	133.45592	-17.11547	237.2	
681.184	133.45649	-17.11879	234.7	
681.370	133.45678	-17.12045	232.1	
681.742	133.45735	-17.12376	230.3	
682.485	133.45849	-17.13039	228.3	
683.414	133.45991	-17.13867	225.9	
684.232	133.46117	-17.14596	224.9	
685.161	133.46260	-17.15424	224.0	
686.052	133.46396	-17.16219	223.2	
686.202	133.46419	-17.16352	224.8	
687.094	133.46556	-17.17147	224.3	
687.949	133.46687	-17.17910	222.3	
688.765	133.46809	-17.18638	221.0	
689.546	133.46933	-17.19333	220.8	
690.401	133.47062	-17.20096	222.5	
690.921	133.47112	-17.20563	219.8	
691.477	133.47120	-17.21065	219.4	
691.997	133.47085	-17.21534	219.6	
692.555	133.47000	-17.22032	216.6	
692.927	133.46916	-17.22358	215.3	
693.484	133.46752	-17.22836	212.0	
694.005	133.46558	-17.23268	210.6	
694.563	133.46312	-17.23713	210.3	
695.306	133.45979	-17.24304	209.2	
695.862	133.45764	-17.24762	211.0	
696.420	133.45593	-17.25238	211.3	
696.866	133.45492	-17.25629	210.4	
697.610	133.45350	-17.26288	207.3	
698.353	133.45210	-17.26945	210.6	
698.983	133.45090	-17.27503	217.8	
699.168	133.45055	-17.27667	222.3	
699.280	133.45034	-17.27766	223.4	
699.504	133.44992	-17.27964	226.7	
699.727	133.44950	-17.28162	226.9	
699.913	133.44915	-17.28326	230.0	
700.061	133.44887	-17.28457	231.7	
700.172	133.44866	-17.28555	235.4	
700.321	133.44838	-17.28687	237.6	
701.250	133.44662	-17.29510	239.1	
702.031	133.44514	-17.30201	238.5	
702.552	133.44440	-17.30666	242.7	
702.960	133.44395	-17.31032	242.9	
703.443	133.44342	-17.31466	241.8	
703.518	133.44334	-17.31533	241.6	
703.926	133.44289	-17.31899	237.3	
704.001	133.44280	-17.31966	236.8	
704.632	133.44211	-17.32533	238.4	
705.376	133.44129	-17.33200	240.8	
705.661	133.44096	-17.33456	241.2	
705.700	133.44091	-17.33491	240.9	
705.717	133.44089	-17.33506	240.9	
705.836	133.44079	-17.33613	240.9	
706.024	133.44057	-17.33782	241.7	
706.153	133.44043	-17.33897	241.6	
706.696	133.43983	-17.34385	242.1	
707.040	133.43945	-17.34693	240.4	
707.272	133.43919	-17.34901	239.8	
707.549	133.43888	-17.35150	237.3	
707.847	133.43855	-17.35417	237.2	
708.145	133.43823	-17.35685	234.0	
708.551	133.43794	-17.36051	233.5	
708.639	133.43791	-17.36130	231.4	
708.938	133.43790	-17.36400	229.7	
709.360	133.43810	-17.36781	226.5	
709.795	133.43858	-17.37171	228.8	
709.965	133.43884	-17.37323	227.5	
709.996	133.43889	-17.37351	226.9	
710.156	133.43918	-17.37492	224.9	
710.340	133.43956	-17.37655	220.8	
710.452	133.43981	-17.37753	217.4	
710.770	133.44061	-17.38030	213.4	
711.010	133.44132	-17.38236	213.9	
711.485	133.44293	-17.38636	220.2	
711.597	133.44336	-17.38728	225.0	
711.708	133.44381	-17.38819	228.9	
711.897	133.44459	-17.38972	231.6	
712.378	133.44677	-17.39353	231.2	
713.158	133.45036	-17.39968	231.4	
713.565	133.45224	-17.40289	237.6	
713.974	133.45412	-17.40611	241.5	
714.680	133.45736	-17.41168	244.2	
714.717	133.45753	-17.41197	245.1	
715.610	133.46164	-17.41901	243.2	
716.576	133.46609	-17.42662	245.3	
717.468	133.47020	-17.43365	244.4	
718.398	133.47447	-17.44098	245.9	
719.103	133.47772	-17.44654	246.6	
719.401	133.47908	-17.44889	245.7	
720.367	133.48353	-17.45650	245.0	
721.146	133.48713	-17.46264	243.8	
722.002	133.49107	-17.46938	246.0	
722.857	133.49501	-17.47612	245.0	
723.229	133.49673	-17.47905	239.3	
723.266	133.49690	-17.47934	239.4	
723.600	133.49844	-17.48197	235.4	
724.158	133.50101	-17.48637	231.9	
725.124	133.50547	-17.49398	229.5	
725.273	133.50616	-17.49515	230.4	
726.165	133.51029	-17.50217	227.9	
727.094	133.51458	-17.50948	227.6	
727.950	133.51853	-17.51622	226.6	
728.544	133.52125	-17.52091	227.1	
729.325	133.52486	-17.52706	227.1	
730.216	133.52896	-17.53409	226.4	
730.428	133.52994	-17.53576	227.8	
730.729	133.53133	-17.53813	228.5	
731.062	133.53286	-17.54075	226.2	
731.305	133.53398	-17.54267	224.6	
731.325	133.53408	-17.54282	224.8	
731.345	133.53417	-17.54298	225.3	
731.364	133.53425	-17.54313	225.8	
731.605	133.53536	-17.54503	227.1	
731.704	133.53581	-17.54581	226.1	
731.789	133.53621	-17.54648	226.4	
731.944	133.53696	-17.54768	226.1	
731.978	133.53715	-17.54793	225.9	
732.112	133.53800	-17.54883	225.1	
732.204	133.53865	-17.54938	225.4	
732.372	133.53995	-17.55024	222.9	
732.502	133.54097	-17.55089	226.6	
732.519	133.54110	-17.55097	226.2	
732.552	133.54136	-17.55114	225.6	
732.585	133.54162	-17.55130	225.4	
732.603	133.54176	-17.55139	225.1	
732.669	133.54228	-17.55173	224.3	
732.704	133.54255	-17.55190	224.5	
732.838	133.54361	-17.55256	224.3	
732.888	133.54400	-17.55282	223.9	
732.905	133.54413	-17.55290	224.0	
733.005	133.54492	-17.55340	226.7	
733.444	133.54837	-17.55558	222.1	
733.514	133.54892	-17.55593	222.4	
733.532	133.54906	-17.55602	222.0	
733.628	133.54982	-17.55650	219.8	
733.903	133.55197	-17.55788	222.9	
734.008	133.55280	-17.55840	224.5	
734.230	133.55454	-17.55951	222.4	
734.366	133.55561	-17.56019	224.6	
734.435	133.55615	-17.56053	224.4	
734.618	133.55758	-17.56145	219.4	
734.661	133.55792	-17.56167	221.0	
734.862	133.55950	-17.56266	221.9	
734.885	133.55968	-17.56278	221.8	
734.932	133.56005	-17.56302	221.8	
735.230	133.56238	-17.56451	219.7	
735.573	133.56498	-17.56635	220.0	
736.092	133.56878	-17.56930	221.9	
736.533	133.57202	-17.57180	221.4	
736.868	133.57447	-17.57371	220.0	
737.575	133.57956	-17.57782	221.3	
737.945	133.58186	-17.58034	222.8	
738.614	133.58555	-17.58524	223.5	
739.654	133.59128	-17.59286	226.2	
739.989	133.59313	-17.59531	232.0	
740.062	133.59353	-17.59585	231.5	
740.211	133.59435	-17.59694	230.5	
740.508	133.59599	-17.59912	236.3	
740.694	133.59702	-17.60048	237.9	
740.732	133.59722	-17.60076	237.5	
741.363	133.60065	-17.60542	241.7	
741.698	133.60209	-17.60811	242.4	
742.070	133.60322	-17.61129	243.6	
742.887	133.60550	-17.61834	246.6	
743.333	133.60673	-17.62220	244.8	
744.262	133.60930	-17.63022	247.7	
744.819	133.61085	-17.63503	251.1	
745.339	133.61230	-17.63952	250.0	
745.656	133.61319	-17.64225	249.1	
745.706	133.61333	-17.64268	249.6	
745.765	133.61350	-17.64319	248.2	
745.779	133.61355	-17.64331	248.0	
745.833	133.61371	-17.64377	249.9	
745.858	133.61381	-17.64397	250.6	
745.922	133.61393	-17.64454	251.6	
745.960	133.61404	-17.64487	251.9	
746.041	133.61427	-17.64557	249.0	
746.061	133.61432	-17.64574	248.3	
746.263	133.61488	-17.64748	248.4	
746.589	133.61579	-17.65030	251.2	
747.021	133.61700	-17.65402	253.4	
747.421	133.61812	-17.65748	251.8	
747.951	133.61961	-17.66205	256.6	
748.024	133.61981	-17.66268	255.4	
748.391	133.62083	-17.66585	259.0	
748.873	133.62195	-17.67007	261.3	
749.507	133.62312	-17.67568	258.7	
750.658	133.62527	-17.68588	257.5	
751.252	133.62638	-17.69114	258.1	
752.144	133.62804	-17.69904	254.7	
752.311	133.62836	-17.70052	255.8	
752.340	133.62841	-17.70077	254.3	
752.412	133.62854	-17.70141	253.9	
752.432	133.62858	-17.70159	254.0	
752.489	133.62869	-17.70209	255.1	
752.560	133.62882	-17.70272	255.0	
752.570	133.62885	-17.70281	254.6	
752.606	133.62896	-17.70312	253.5	
752.620	133.62898	-17.70324	253.1	
752.678	133.62904	-17.70376	251.7	
752.814	133.62929	-17.70497	251.9	
753.028	133.62968	-17.70686	253.7	
753.369	133.63032	-17.70988	255.5	
753.819	133.63116	-17.71387	254.4	
754.132	133.63174	-17.71664	258.9	
754.605	133.63265	-17.72083	257.5	
755.200	133.63414	-17.72601	259.5	
756.017	133.63627	-17.73310	258.7	
756.946	133.63870	-17.74117	263.5	
757.801	133.64093	-17.74859	262.3	
758.434	133.64259	-17.75408	259.2	
759.139	133.64457	-17.76016	253.8	
759.214	133.64484	-17.76079	254.3	
759.549	133.64625	-17.76350	253.1	
759.958	133.64839	-17.76657	253.9	
760.367	133.65093	-17.76935	249.6	
760.737	133.65350	-17.77162	249.4	
760.998	133.65531	-17.77321	247.7	
761.257	133.65712	-17.77479	242.2	
761.406	133.65815	-17.77570	238.1	
761.815	133.66090	-17.77830	236.1	
761.852	133.66113	-17.77855	236.2	
762.261	133.66345	-17.78150	231.9	
762.670	133.66534	-17.78472	227.9	
763.078	133.66675	-17.78815	226.7	
763.708	133.66837	-17.79363	221.5	
764.564	133.67056	-17.80107	223.8	
765.308	133.67247	-17.80754	227.9	
765.643	133.67333	-17.81045	227.1	
766.422	133.67538	-17.81721	231.5	
766.459	133.67547	-17.81753	232.9	
766.831	133.67646	-17.82076	231.6	
767.016	133.67695	-17.82236	236.2	
767.239	133.67755	-17.82429	241.9	
767.313	133.67774	-17.82494	242.0	
767.612	133.67853	-17.82753	239.3	
768.429	133.68069	-17.83462	238.8	
769.433	133.68335	-17.84332	239.0	
770.436	133.68600	-17.85202	238.7	
771.142	133.68787	-17.85814	240.4	
771.327	133.68836	-17.85975	243.8	
771.700	133.68935	-17.86298	245.7	
772.258	133.69082	-17.86782	250.1	
772.480	133.69141	-17.86975	251.8	
772.591	133.69171	-17.87071	255.5	
773.037	133.69317	-17.87449	252.9	
773.186	133.69375	-17.87571	258.2	
773.371	133.69455	-17.87720	260.3	
773.484	133.69507	-17.87809	262.4	
773.707	133.69611	-17.87984	266.1	
774.413	133.69929	-17.88545	267.7	
774.969	133.70133	-17.89008	268.6	
775.601	133.70340	-17.89543	265.0	
776.530	133.70646	-17.90330	270.2	
777.459	133.70951	-17.91117	271.9	
778.128	133.71171	-17.91683	269.1	
778.611	133.71300	-17.92102	268.2	
778.685	133.71315	-17.92167	269.1	
779.131	133.71377	-17.92566	268.2	
779.467	133.71395	-17.92869	263.1	
779.653	133.71394	-17.93037	258.6	
779.801	133.71394	-17.93171	259.4	
780.136	133.71391	-17.93473	254.7	
780.396	133.71389	-17.93708	256.8	
780.731	133.71387	-17.94011	257.6	
781.361	133.71382	-17.94580	260.1	
781.473	133.71381	-17.94681	265.8	
781.585	133.71381	-17.94782	268.1	
781.808	133.71378	-17.94984	268.2	
782.701	133.71372	-17.95791	268.4	
782.887	133.71370	-17.95959	265.7	
783.110	133.71366	-17.96160	262.3	
783.258	133.71363	-17.96294	259.8	
784.039	133.71348	-17.96999	265.7	
784.558	133.71315	-17.97467	267.2	
784.744	133.71282	-17.97632	269.3	
785.042	133.71218	-17.97894	272.8	
785.450	133.71136	-17.98255	270.8	
785.561	133.71122	-17.98354	268.1	
785.970	133.71101	-17.98723	269.0	
786.664	133.71101	-17.99350	272.0	
786.929	133.71102	-17.99589	273.5	
787.179	133.71101	-17.99815	276.5	
787.487	133.71099	-18.00094	275.7	
787.590	133.71100	-18.00187	274.2	
788.060	133.71103	-18.00611	275.6	
788.989	133.71104	-18.01451	272.4	
789.027	133.71104	-18.01485	273.3	
789.882	133.71104	-18.02257	276.1	
790.476	133.71107	-18.02794	279.0	
790.773	133.71133	-18.03061	282.3	
790.883	133.71148	-18.03160	282.6	
791.776	133.71262	-18.03959	282.4	
792.073	133.71300	-18.04225	277.9	
792.780	133.71389	-18.04858	276.8	
793.226	133.71446	-18.05257	279.8	
793.809	133.71520	-18.05779	277.7	
794.023	133.71548	-18.05971	277.7	
794.406	133.71595	-18.06314	277.7	
794.553	133.71612	-18.06446	277.5	
794.616	133.71621	-18.06502	276.9	
794.987	133.71671	-18.06834	273.9	
795.426	133.71727	-18.07227	271.6	
795.649	133.71756	-18.07426	268.7	
796.578	133.71874	-18.08258	269.3	
796.762	133.71898	-18.08423	272.4	
796.837	133.71907	-18.08490	275.5	
797.061	133.71936	-18.08690	275.0	
797.693	133.72017	-18.09256	276.3	
798.176	133.72079	-18.09688	279.5	
798.622	133.72136	-18.10088	282.7	
799.403	133.72236	-18.10787	285.6	
800.221	133.72340	-18.11519	288.3	
801.002	133.72440	-18.12218	288.6	
801.969	133.72563	-18.13084	288.2	
802.600	133.72624	-18.13651	286.0	
802.934	133.72598	-18.13952	286.8	
803.529	133.72520	-18.14484	290.5	
803.910	133.72470	-18.14825	289.7	
804.257	133.72425	-18.15136	293.2	
804.518	133.72389	-18.15369	290.5	
804.581	133.72382	-18.15425	290.7	
804.979	133.72333	-18.15782	286.9	
805.474	133.72294	-18.16228	291.9	
805.655	133.72291	-18.16391	293.3	
806.182	133.72308	-18.16867	297.1	
806.573	133.72342	-18.17219	299.0	
806.874	133.72370	-18.17489	300.1	
807.028	133.72383	-18.17628	296.1	
807.094	133.72389	-18.17687	293.8	
807.228	133.72405	-18.17807	292.1	
807.329	133.72415	-18.17898	291.2	
807.860	133.72472	-18.18375	286.0	
808.115	133.72515	-18.18601	293.1	
808.225	133.72535	-18.18699	296.8	
808.337	133.72555	-18.18798	300.1	
808.411	133.72568	-18.18864	299.9	
808.486	133.72582	-18.18930	298.6	
808.560	133.72595	-18.18996	301.1	
808.858	133.72648	-18.19261	305.9	
809.677	133.72793	-18.19987	300.1	
810.123	133.72878	-18.20382	297.5	
810.159	133.72886	-18.20414	297.5	
811.013	133.73084	-18.21162	300.9	
811.125	133.73110	-18.21260	300.0	
811.237	133.73136	-18.21358	301.2	
811.868	133.73298	-18.21907	300.2	
812.241	133.73451	-18.22210	300.3	
812.612	133.73648	-18.22488	298.4	
812.947	133.73860	-18.22712	298.6	
813.133	133.73986	-18.22829	293.6	
813.747	133.74405	-18.23213	301.1	
814.137	133.74670	-18.23459	297.4	
814.436	133.74875	-18.23645	299.0	
814.681	133.75044	-18.23796	301.3	
815.186	133.75388	-18.24112	303.8	
815.264	133.75442	-18.24161	302.4	
815.421	133.75546	-18.24262	296.8	
815.501	133.75595	-18.24317	296.2	
815.607	133.75655	-18.24394	292.4	
815.714	133.75710	-18.24475	289.9	
815.828	133.75758	-18.24567	284.8	
815.859	133.75770	-18.24592	283.6	
815.889	133.75782	-18.24617	282.8	
816.019	133.75836	-18.24723	279.0	
816.053	133.75851	-18.24750	278.6	
816.336	133.75969	-18.24979	274.9	
816.519	133.76043	-18.25129	268.9	
816.634	133.76090	-18.25222	267.4	
816.746	133.76136	-18.25313	268.3	
816.893	133.76197	-18.25433	264.6	
817.860	133.76594	-18.26220	267.5	
818.939	133.77036	-18.27098	270.2	
819.941	133.77448	-18.27914	271.5	
820.834	133.77814	-18.28641	272.6	
821.876	133.78241	-18.29489	271.0	
821.913	133.78256	-18.29519	270.9	
822.397	133.78455	-18.29913	271.8	
822.917	133.78669	-18.30336	267.0	
823.735	133.79005	-18.31002	265.0	
824.441	133.79306	-18.31571	261.8	
824.706	133.79442	-18.31773	262.1	
824.791	133.79485	-18.31837	262.4	
825.142	133.79663	-18.32105	262.8	
