km	long	lat	alt	name
24.724	131.01711	-12.50300	44.7	
24.783	131.01738	-12.50346	43.2	
25.097	131.01883	-12.50592	39.8	
25.149	131.01908	-12.50632	38.8	
25.150	131.01908	-12.50633	38.8	
25.166	131.01915	-12.50645	38.3	
25.175	131.01919	-12.50653	38.2	
25.201	131.01928	-12.50674	38.2	
25.326	131.01984	-12.50773	38.7	
25.553	131.02086	-12.50952	35.3	
25.601	131.02108	-12.50990	33.7	
25.625	131.02120	-12.51008	32.8	
25.712	131.02164	-12.51074	27.8	
25.750	131.02185	-12.51101	26.5	
25.767	131.02195	-12.51113	26.1	
25.832	131.02234	-12.51157	25.6	
26.061	131.02388	-12.51299	21.2	
26.242	131.02528	-12.51387	19.7	
26.374	131.02637	-12.51439	22.8	
26.549	131.02790	-12.51490	30.0	
26.592	131.02828	-12.51501	33.5	
26.635	131.02866	-12.51512	34.8	
26.650	131.02879	-12.51515	35.1	
26.771	131.02986	-12.51545	36.6	
26.970	131.03160	-12.51603	40.3	
26.991	131.03178	-12.51610	40.4	
27.012	131.03195	-12.51618	40.3	
27.033	131.03212	-12.51627	40.3	
27.260	131.03386	-12.51741	41.0	
27.457	131.03533	-12.51844	41.6	
27.531	131.03589	-12.51883	42.2	
27.582	131.03627	-12.51910	43.6	
27.998	131.03938	-12.52129	45.6	
28.341	131.04194	-12.52310	46.8	
28.517	131.04326	-12.52403	46.4	
28.619	131.04402	-12.52457	45.9	
28.638	131.04417	-12.52466	45.8	
28.660	131.04433	-12.52477	46.3	
28.735	131.04489	-12.52517	48.3	
28.751	131.04501	-12.52526	48.7	
28.912	131.04620	-12.52613	49.8	
29.182	131.04803	-12.52778	50.2	
29.477	131.04978	-12.52981	49.9	
29.768	131.05146	-12.53186	48.7	
29.917	131.05232	-12.53291	47.3	
30.457	131.05548	-12.53668	50.5	
30.487	131.05565	-12.53689	51.5	
30.975	131.05861	-12.54021	49.3	
31.297	131.06039	-12.54253	46.2	
31.933	131.06374	-12.54725	46.5	
32.607	131.06729	-12.55224	43.2	
33.260	131.07071	-12.55710	42.0	
33.515	131.07196	-12.55905	42.7	
33.806	131.07299	-12.56148	40.9	
33.988	131.07339	-12.56307	39.5	
34.056	131.07351	-12.56368	39.4	
34.070	131.07353	-12.56380	39.4	
34.164	131.07362	-12.56465	38.0	
34.200	131.07365	-12.56497	37.2	
34.213	131.07365	-12.56509	37.0	
34.271	131.07367	-12.56561	36.5	
34.420	131.07367	-12.56696	34.0	
34.622	131.07367	-12.56879	31.0	
34.944	131.07367	-12.57170	31.9	
35.571	131.07367	-12.57736	34.5	
35.784	131.07366	-12.57929	28.8	
35.815	131.07366	-12.57957	28.4	
36.583	131.07365	-12.58651	29.4	
37.204	131.07365	-12.59213	26.6	
37.235	131.07365	-12.59241	25.5	
37.544	131.07365	-12.59520	22.7	
38.036	131.07361	-12.59965	20.2	
38.501	131.07361	-12.60385	17.7	
38.719	131.07361	-12.60582	17.3	
39.235	131.07364	-12.61048	18.2	
39.584	131.07363	-12.61364	19.5	
40.021	131.07349	-12.61759	23.4	
40.434	131.07287	-12.62127	24.7	
40.551	131.07270	-12.62231	25.4	
40.866	131.07253	-12.62516	26.8	
41.187	131.07284	-12.62804	29.8	
41.344	131.07307	-12.62944	31.1	
41.405	131.07316	-12.62999	32.0	
41.947	131.07394	-12.63483	36.9	
42.527	131.07477	-12.64001	37.2	
42.782	131.07519	-12.64227	35.5	
42.972	131.07554	-12.64396	35.8	
43.618	131.07663	-12.64970	35.7	
44.118	131.07737	-12.65416	40.3	
44.187	131.07747	-12.65477	40.7	
44.560	131.07802	-12.65810	45.4	
44.724	131.07829	-12.65956	47.4	
44.984	131.07869	-12.66188	49.8	
45.274	131.07909	-12.66447	51.3	
45.529	131.07937	-12.66676	53.4	
46.120	131.08012	-12.67205	51.6	
46.247	131.08031	-12.67318	51.6	
46.375	131.08050	-12.67432	51.5	
46.470	131.08064	-12.67517	52.7	
46.826	131.08116	-12.67835	56.0	
47.206	131.08172	-12.68174	58.6	
47.423	131.08211	-12.68366	53.8	
47.630	131.08261	-12.68547	53.2	
48.036	131.08359	-12.68901	55.6	
48.449	131.08452	-12.69263	57.4	
48.801	131.08495	-12.69578	60.8	
48.835	131.08499	-12.69609	60.7	
49.576	131.08581	-12.70274	57.7	
49.681	131.08593	-12.70368	57.1	
50.536	131.08688	-12.71135	57.4	
51.047	131.08745	-12.71594	58.8	
51.560	131.08802	-12.72054	56.8	
52.030	131.08855	-12.72476	54.3	
52.289	131.08883	-12.72708	54.9	
52.475	131.08905	-12.72875	52.2	
52.683	131.08928	-12.73062	50.9	
52.716	131.08932	-12.73091	50.4	
52.842	131.08946	-12.73204	45.7	
52.902	131.08953	-12.73258	44.9	
53.020	131.08966	-12.73364	43.9	
53.106	131.08979	-12.73441	44.0	
53.433	131.09046	-12.73729	43.3	
53.746	131.09141	-12.73996	46.0	
53.771	131.09150	-12.74017	46.5	
53.845	131.09177	-12.74078	48.4	
53.894	131.09197	-12.74118	50.9	
53.965	131.09226	-12.74175	53.1	
54.103	131.09284	-12.74286	54.9	
54.148	131.09302	-12.74323	55.5	
54.486	131.09442	-12.74596	58.9	
54.540	131.09464	-12.74640	59.1	
54.795	131.09569	-12.74846	58.9	
54.898	131.09612	-12.74929	59.8	
55.266	131.09769	-12.75224	60.8	
55.969	131.10064	-12.75789	63.3	
57.042	131.10517	-12.76651	61.6	
57.410	131.10671	-12.76948	58.7	
57.579	131.10745	-12.77082	55.1	
57.680	131.10793	-12.77160	49.3	
57.814	131.10861	-12.77261	44.2	
57.847	131.10878	-12.77286	43.7	
58.015	131.10971	-12.77407	41.5	
58.149	131.11051	-12.77500	40.0	
58.183	131.11071	-12.77523	39.7	
58.350	131.11177	-12.77633	36.2	
58.786	131.11479	-12.77892	31.8	
59.088	131.11696	-12.78063	38.4	
59.558	131.12030	-12.78333	34.2	
59.624	131.12074	-12.78375	34.8	
59.792	131.12172	-12.78492	32.9	
60.025	131.12272	-12.78678	32.7	
60.260	131.12325	-12.78884	34.1	
60.493	131.12329	-12.79095	37.5	
61.030	131.12297	-12.79579	39.0	
61.219	131.12287	-12.79750	41.6	
61.261	131.12284	-12.79788	40.0	
61.295	131.12282	-12.79818	38.7	
61.498	131.12274	-12.80002	35.3	
61.512	131.12273	-12.80014	35.1	
61.527	131.12272	-12.80028	34.9	
61.564	131.12269	-12.80061	34.5	
61.628	131.12265	-12.80119	33.8	
61.677	131.12262	-12.80163	33.2	
61.933	131.12247	-12.80394	36.5	
62.025	131.12242	-12.80477	37.7	
62.150	131.12236	-12.80590	38.5	
62.377	131.12258	-12.80794	40.4	
62.582	131.12331	-12.80965	40.2	
62.653	131.12364	-12.81020	40.8	
62.974	131.12519	-12.81267	45.9	
63.010	131.12536	-12.81295	46.0	
63.187	131.12620	-12.81432	49.8	
63.314	131.12681	-12.81530	51.5	
63.538	131.12788	-12.81703	55.5	
63.604	131.12820	-12.81754	57.6	
64.189	131.13099	-12.82207	50.8	
64.363	131.13178	-12.82343	48.7	
64.570	131.13240	-12.82520	47.1	
64.743	131.13262	-12.82675	46.6	
65.123	131.13259	-12.83019	44.3	
65.227	131.13259	-12.83113	42.7	
65.469	131.13292	-12.83329	39.5	
65.504	131.13302	-12.83359	38.5	
65.781	131.13387	-12.83595	32.9	
65.816	131.13398	-12.83625	32.6	
65.920	131.13430	-12.83713	33.0	
65.953	131.13440	-12.83742	33.5	
66.505	131.13613	-12.84211	33.7	
67.406	131.13891	-12.84978	36.3	
67.578	131.13944	-12.85125	38.7	
67.786	131.14008	-12.85302	41.6	
68.235	131.14145	-12.85685	45.1	
68.408	131.14198	-12.85832	47.2	
68.579	131.14245	-12.85980	52.4	
68.684	131.14262	-12.86073	56.1	
68.925	131.14261	-12.86291	58.4	
69.271	131.14199	-12.86598	55.6	
69.583	131.14140	-12.86874	61.7	
69.826	131.14095	-12.87089	58.5	
70.171	131.14071	-12.87400	52.6	
70.551	131.14102	-12.87742	52.6	
70.827	131.14131	-12.87990	53.0	
71.242	131.14176	-12.88363	53.8	
71.346	131.14186	-12.88456	53.3	
71.760	131.14222	-12.88829	52.0	
71.932	131.14209	-12.88984	53.4	
72.278	131.14130	-12.89287	56.0	
73.031	131.13954	-12.89945	52.9	
73.391	131.13871	-12.90260	53.3	
73.647	131.13839	-12.90489	54.7	
73.810	131.13850	-12.90636	56.9	
74.047	131.13906	-12.90843	57.4	
74.397	131.13974	-12.91153	60.4	
74.469	131.13976	-12.91218	60.4	
74.688	131.13951	-12.91414	62.5	
74.910	131.13882	-12.91603	70.2	
75.210	131.13752	-12.91842	74.4	
75.630	131.13569	-12.92177	67.1	
76.425	131.13224	-12.92811	69.2	
76.539	131.13174	-12.92901	70.2	
76.947	131.13017	-12.93237	71.1	
77.312	131.12908	-12.93549	73.0	
77.634	131.12763	-12.93803	77.4	
78.264	131.12448	-12.94281	75.7	
78.570	131.12324	-12.94529	76.1	
78.817	131.12254	-12.94742	80.5	
78.911	131.12234	-12.94824	82.6	
79.072	131.12205	-12.94967	83.5	
